MistoPoskytovaniId,ZdravotnickeZarizeniId,Kod,NazevZarizeni,DruhZarizeni,Obec,Psc,Ulice,CisloDomovniOrientacni,Kraj,KrajCode,Okres,OkresCode,SpravniObvod,PoskytovatelTelefon,PoskytovatelFax,PoskytovatelEmail,PoskytovatelWeb,Ico,TypOsoby,PravniFormaKod,KrajCodeSidlo,OkresCodeSidlo,ObecSidlo,PscSidlo,UliceSidlo,CisloDomovniOrientacniSidlo,OborPece,FormaPece,DruhPece,OdbornyZastupce,Lat,Lng
247801,178166,21768838000000,LOMIPRAKTIK s.r.o.,Samost. ordinace všeob. prakt. lékaře,Děčín,40502,Úzká,167/8,Ústecký kraj,CZ042,Děčín,CZ0421,,420412519861,,,,21768838,2,112,CZ042,CZ0421,Děčín,40502,Slezská,1395/7,všeobecné praktické lékařství,ambulantní péče,,MICHAELA LOUDOVÁ,50.771010697107,14.218066956833
247514,177929,21473064000000,Praktik Lovosice s.r.o.,Samost. ordinace všeob. prakt. lékaře,Lovosice,41002,Terezínská,488/73,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420793983600,,ordinace@praktik-lovosice.cz,,21473064,2,112,CZ020,CZ0209,Odolena Voda,25070,Lipová,564,všeobecné praktické lékařství,primární ambulantní péče,,Taťána Mahdíková,50.509772209836,14.073687651175
247372,177800,21259755000000,Praktik Lam s.r.o.,Samost. ordinace všeob. prakt. lékaře,Roudnice nad Labem,41301,Alej 17. listopadu,1101,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420773582227,,praktiklam@gmail.com,,21259755,2,112,CZ042,CZ0423,Roudnice nad Labem,41301,Alej 17. listopadu,1101,všeobecné praktické lékařství,primární ambulantní péče,,Dong Lam Le,50.423032219377,14.249737168889
247183,177634,27918335845000,Mediclinic a.s.,Samost. ordinace všeob. prakt. lékaře,Most,43401,J. A. Komenského,311/1b,Ústecký kraj,CZ042,Most,CZ0425,,420844300100,,info@mediclinic.cz,http://www.mediclinic.cz,27918335,2,121,CZ064,CZ0642,Brno,61600,Minská,84/97,všeobecné praktické lékařství,ambulantní péče,,"IVANA ALFERIOVÁ, LUCIE HLAVÁČKOVÁ, LUDMILA HANÁKOVÁ, Milan Janáček, MUDr. Jitka Sigmundová, MUDr. MILOSLAVA KUČEROVÁ, MUDr. OLGA JANOUŠKOVÁ, MUDr. ZDENĚK POSTLER",50.489793915533,13.651282918089
247156,177616,19064144000001,Zdravotnická spol. s.r.o.,Samost. ordinace všeob. prakt. lékaře,Hostomice,41752,Husova,308,Ústecký kraj,CZ042,Teplice,CZ0426,,420704114855,,zdravotnickaspolecnost@post.cz,,19064144,2,,CZ010,CZ0100,Praha 1,11000,Rybná,716/24,všeobecné praktické lékařství,primární ambulantní péče,,Antonín Preč,50.588140905643,13.810468276847
247551,177615,19064144000000,Zdravotnická spol. s.r.o.,Samost. ordinace všeob. prakt. lékaře,Lovosice,41002,Školní,41/1,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420704114855,,zdravotnickaspolecnost@post.cz,,19064144,2,,CZ010,CZ0100,Praha 1,11000,Rybná,716/24,všeobecné praktické lékařství,primární ambulantní péče,,Antonín Preč,50.514719131101,14.050987702493
247139,177596,21936714000000,MUDr. PETR VRAŠTIL,Samost. ordinace všeob. prakt. lékaře,Úštěk,41145,Mírové náměstí,46,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416795451,,praktik.ustek@gmail.com,,21936714,1,,CZ042,CZ0423,Úštěk,41145,Mírové náměstí,46,všeobecné praktické lékařství,primární ambulantní péče,,,50.584786480282,14.342751160237
246768,177298,3869628000006,JOCORP s.r.o.,Samost. ordinace všeob. prakt. lékaře,Litvínov,43601,U Bílého sloupu,2088,Ústecký kraj,CZ042,Most,CZ0425,,420412331094,,ordinacerumburk@seznam.cz,https://mudr-josef-korinek.webnode.cz/,3869628,2,112,CZ042,CZ0421,Jiříkov,40753,Březinova,730/1,všeobecné praktické lékařství,ambulantní péče,,"EVŽEN ČERNÝ, JOSEF KOŘÍNEK",50.597498959541,13.60459495479
246683,177223,21695849000000,MUDr. ZUZANA SEMANČÍKOVÁ,Samost. ordinace všeob. prakt. lékaře,Louny,44001,Blahoslavova,1710,Ústecký kraj,CZ042,Louny,CZ0424,,420415657125,,dr.semancikova@seznam.cz,,21695849,1,,CZ042,CZ0424,Louny,44001,Blahoslavova,1710,všeobecné praktické lékařství,primární ambulantní péče,,,50.356385015734,13.807526353759
246629,177171,21395055000000,Medipost s.r.o.,Samost. ordinace všeob. prakt. lékaře,Postoloprty,43942,Jiráskovo náměstí,496,Ústecký kraj,CZ042,Louny,CZ0424,,420771771959,,ordinace@medipost.cz,,21395055,2,,CZ042,CZ0424,Postoloprty,43942,Jiráskovo náměstí,496,všeobecné praktické lékařství,primární ambulantní péče,,Miroslav Urban,50.361137486556,13.698960968208
246330,176908,14351293006000,Všeobecný lékař s.r.o.,Samost. ordinace všeob. prakt. lékaře,Ústí nad Labem,40331,Opletalova,276,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,vseobecnylekar@vseobecnylekar.cz,www.vseobecnylekar.cz,14351293,2,112,CZ020,CZ0201,Vrchotovy Janovice,25753,,6,všeobecné praktické lékařství,primární ambulantní péče,,PAVEL KŘEČEK,50.671982141906,14.102459473472
246155,176756,19890443000000,MUDr. Markéta Wagnerová,Samost. ordinace všeob. prakt. lékaře,Křešice,41148,Pražská,98,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,,,19890443,1,,CZ042,CZ0423,Křešice,41148,Pražská,98,všeobecné praktické lékařství,primární ambulantní péče,,,50.515830314469,14.22325973497
245980,176601,22795626000001,Cerasina s.r.o.,Samost. ordinace všeob. prakt. lékaře,Lovosice,41002,Školní,41/1,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416562236,,ordinace@cerasina.cz,,22795626,2,112,CZ042,CZ0423,Vědomice,41301,Zahradní,127,všeobecné praktické lékařství,ambulantní péče,,Jan Třešňák,50.514719131101,14.050987702493
245912,176556,19999011000000,Kasperek medical s.r.o.,Samost. ordinace všeob. prakt. lékaře,Chlumec,40339,Chlumecká,401,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,,,19999011,2,112,CZ042,CZ0427,Tisá,40336,,432,všeobecné praktické lékařství,primární ambulantní péče,,Dušan Malenčik,50.701958961651,13.936138480956
245888,176524,6781870000003,MEDIFA Radka Válková s.r.o.,Samost. ordinace všeob. prakt. lékaře,Most,43401,Čsl. armády,2109/66,Ústecký kraj,CZ042,Most,CZ0425,,420476706638,,radka.valkova@medifa.cz,,6781870,2,112,CZ042,CZ0425,Most,43401,Čsl. armády,2173/76,všeobecné praktické lékařství,primární ambulantní péče,,RADKA VÁLKOVÁ,50.512409744589,13.637402829451
245851,176496,4145186001001,Distribuovaná Klinika s.r.o.,"Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře, Samostatné zařízení fyzioterapeuta",Louny,44001,Kosmonautů,2304,Ústecký kraj,CZ042,Louny,CZ0424,,,,info@dklinika.cz,https://www.distribuovana-klinika.cz/,4145186,2,112,CZ010,CZ0100,Praha 3,13000,Hartigova,1604/144,"Fyzioterapeut, všeobecné praktické lékařství, vnitřní lékařství","primární ambulantní péče, specializovaná ambulantní péče",,JAN KYKAL,50.358211758386,13.791025100936
245647,176342,15154874001009,MUDr. Jiří Binter,Samost. ordinace všeob. prakt. lékaře,Kovářská,43186,Husova,659,Ústecký kraj,CZ042,Chomutov,CZ0422,,420474334075,,vejprty-obvod@seznam.cz,,15154874,1,,CZ042,CZ0422,Chomutov,43004,Písečná,5062,všeobecné praktické lékařství,primární ambulantní péče,,,50.441947113461,13.056839297877
245328,176067,14390728000001,MUDr. Lucie Novotná,Samost. ordinace všeob. prakt. lékaře,Klášterec nad Ohří,43151,Sadová,528,Ústecký kraj,CZ042,Chomutov,CZ0422,,420728589300,,novotnalucie.hory@seznam.cz,,14390728,1,,CZ042,CZ0422,Vejprty,43191,Maxima Gorkého,981/18,všeobecné praktické lékařství,primární ambulantní péče,,,50.387284385669,13.181058390608
245221,175971,19386796000001,Medizam s.r.o.,Samost. ordinace všeob. prakt. lékaře,Štětí,41108,,62,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416814148,,ordinacehostka112@seznam.cz,,19386796,2,112,CZ042,CZ0423,Roudnice nad Labem,41301,Krabčická,1250,všeobecné praktické lékařství,primární ambulantní péče,,Jana Zámečníková,50.442082511134,14.351709357949
245220,175970,19386796000000,Medizam s.r.o.,Samost. ordinace všeob. prakt. lékaře,Hoštka,41172,nám. Svobody,112,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416814148,,ordinacehostka112@seznam.cz,,19386796,2,112,CZ042,CZ0423,Roudnice nad Labem,41301,Krabčická,1250,všeobecné praktické lékařství,primární ambulantní péče,,Jana Zámečníková,50.48855109193,14.33548224252
245186,175938,19972920000000,RGN s.r.o.,Samost. ordinace všeob. prakt. lékaře,Ústí nad Labem,40001,V Jirchářích,62/2,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,,,navratilovaul@seznam.cz,,19972920,2,112,CZ042,CZ0427,Ústí nad Labem,40001,Palachova,436/53,všeobecné praktické lékařství,primární ambulantní péče,,Gabriela Navrátilová,50.660327168731,14.043298124048
245080,175844,14072904000001,Závodní lékaři s. r. o.,Samost. ordinace všeob. prakt. lékaře,Litvínov,43601,Žižkova,151,Ústecký kraj,CZ042,Most,CZ0425,,420414120550,,v.prejzek@seznam.cz,,14072904,2,112,CZ042,CZ0421,Šluknov,40777,nám. Míru,344,"všeobecné praktické lékařství, vnitřní lékařství","ambulantní péče, specializovaná ambulantní péče",,VRATISLAV PREJZEK,50.602328000871,13.614006340312
152343,175737,22799923000000,RVVMED s.r.o.,"Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře",Štětí,41108,Školní,562,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416811556,,info@rvvmed.cz,www.rvvmed.cz,22799923,2,112,CZ042,CZ0423,Litoměřice,41201,Rooseveltova,744/9,"angiologie, všeobecné praktické lékařství, vnitřní lékařství","primární ambulantní péče, specializovaná ambulantní péče",,"JITKA VYSOUDILOVÁ, MUDr. Leoš Vysoudil, MBA",50.453326505045,14.379102010517
244891,175671,19723296000000,MUDr. Luboš Pokorný s.r.o.,Samost. ordinace všeob. prakt. lékaře,Dubí,41703,Mírová,108/9,Ústecký kraj,CZ042,Teplice,CZ0426,,420417535873,,info@lekardubi.cz,,19723296,2,112,CZ042,CZ0426,Novosedlice,41731,Sokolská,439,všeobecné praktické lékařství,primární ambulantní péče,,MUDr. LUBOŠ POKORNÝ,50.659728471516,13.797773011187
244823,175612,3869628000005,JOCORP s.r.o.,Samost. ordinace všeob. prakt. lékaře,Litvínov,43601,,1,Ústecký kraj,CZ042,Most,CZ0425,,420412331094,,ordinacerumburk@seznam.cz,https://mudr-josef-korinek.webnode.cz/,3869628,2,112,CZ042,CZ0421,Jiříkov,40753,Březinova,730/1,"všeobecné praktické lékařství, vnitřní lékařství, radiologie a zobrazovací metody","ambulantní péče, primární ambulantní péče",,"EVŽEN ČERNÝ, JOSEF KOŘÍNEK",50.561644373024,13.60205590198
244807,175596,19550839000000,RJ-praktik s.r.o.,Samost. ordinace všeob. prakt. lékaře,Budyně nad Ohří,41118,Slunečná,426,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416862141,,drrazkova@seznam.cz,,19550839,2,,CZ042,CZ0423,Budyně nad Ohří,41118,Luční,448,"všeobecné praktické lékařství, vnitřní lékařství","primární ambulantní péče, specializovaná ambulantní péče",,Jana Rážková,50.401703130021,14.130335862185
244786,175578,19384556000000,EMMEDIC s.r.o.,Samost. ordinace všeob. prakt. lékaře,Štětí,41108,Obchodní,686,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416812533,,info@ordinace-sevcikova.cz,,19384556,2,,CZ042,CZ0423,Štětí,41108,Obchodní,678,všeobecné praktické lékařství,primární ambulantní péče,,Eva Ševčíková,50.453025659218,14.376093813192
244241,175111,19442033000000,MUDr. Richard Fajt s.r.o.,Samost. ordinace všeob. prakt. lékaře,Děčín,40502,Vrchlického,1038/11,Ústecký kraj,CZ042,Děčín,CZ0421,,,,ordinace.fajt@gmail.com,,19442033,2,112,CZ042,CZ0421,Děčín,40502,Vrchlického,1038/11,všeobecné praktické lékařství,primární ambulantní péče,,RICHARD FAJT,50.781127487179,14.223795677653
244222,175092,24769941001000,"Iatri Cauti, s.r.o.",Samost. ordinace všeob. prakt. lékaře,Most,43401,Topolová,1234,Ústecký kraj,CZ042,Most,CZ0425,,420603181811,,iatri.cauti@gmail.com,,24769941,2,112,CZ010,CZ0100,Praha 10,10000,Karpatská,1166/18,všeobecné praktické lékařství,primární ambulantní péče,,Martin Šimša,50.497217046878,13.650265371038
243993,174909,5209510000003,MUDr. Sédégnan Florent Natabou,Samost. ordinace všeob. prakt. lékaře,Litvínov,43601,U Zámeckého parku,2003,Ústecký kraj,CZ042,Most,CZ0425,,420606894489,,,www.lekarbilina.cz,5209510,1,,CZ042,CZ0426,Bílina,41801,Sídliště U Nového nádraží,919,všeobecné praktické lékařství,primární ambulantní péče,,,50.597642049491,13.606351485302
243781,174730,19064004000000,PRAKTIK JAVOROVÁ LOUNY s.r.o.,Samost. ordinace všeob. prakt. lékaře,Louny,44001,Javorová,2896,Ústecký kraj,CZ042,Louny,CZ0424,,420415653884,,ordinace-zahradnimesto@seznam.cz,,19064004,2,112,CZ042,CZ0424,Louny,44001,Javorová,2896,všeobecné praktické lékařství,primární ambulantní péče,,Olga Marešová,50.353976652087,13.818772458708
243092,174622,6349200004000,Doktorum s.r.o.,"Samost. ordinace všeob. prakt. lékaře, Samostatná ordinace lékaře specialisty",Roudnice nad Labem,41301,Neklanova,1809,Ústecký kraj,CZ042,Litoměřice,CZ0423,,,,info@doktorum.cz,www.doktorum.cz,6349200,2,112,CZ010,CZ0100,Praha 22,10400,Husovo náměstí,468/16,"všeobecné praktické lékařství, vnitřní lékařství, chirurgie","ambulantní péče, primární ambulantní péče, specializovaná ambulantní péče",,"Karla Barková, MARTA ŠIFALDOVÁ, Miloš Lapka, ONDŘEJ KRAJNÍK",50.420401588434,14.245923723133
243644,174610,17881625000000,MUDr. Marie Lukaščuková s.r.o.,Samost. ordinace všeob. prakt. lékaře,Žatec,43801,Husova,2796,Ústecký kraj,CZ042,Louny,CZ0424,,420414110696,,mudr.lukascukova@email.cz,,17881625,2,112,CZ042,CZ0424,Liběšice,43801,,53,všeobecné praktické lékařství,primární ambulantní péče,,Marie Lukaščuková,50.319537298138,13.537983069412
243183,174306,22793259000003,Lékař Teplice s.r.o.,Samost. ordinace všeob. prakt. lékaře,Teplice,41503,Rybniční,419,Ústecký kraj,CZ042,Teplice,CZ0426,,420417537315,,,http://www.lekarteplice.cz/,22793259,2,112,CZ042,CZ0426,Teplice,41501,Purkyňova,2106,"všeobecné praktické lékařství, chirurgie","ambulantní péče, primární ambulantní péče",,MUDr. Jaroslav Bartoš,50.638827602052,13.802602471207
242957,174065,17740185000000,JB - ambulance s.r.o.,Samost. ordinace všeob. prakt. lékaře,Jirkov,43111,Červenohrádecká,1559,Ústecký kraj,CZ042,Chomutov,CZ0422,,420775718481,,jb-ambulance@seznam.cz,,17740185,2,112,CZ042,CZ0422,Chomutov,43003,Sládkova,3451/2,všeobecné praktické lékařství,primární ambulantní péče,,Aleš Binter,50.502024295413,13.445582380348
242772,173916,17172624000000,PL Podbořany s.r.o.,Samost. ordinace všeob. prakt. lékaře,Podbořany,44101,Masarykovo náměstí,440,Ústecký kraj,CZ042,Louny,CZ0424,,420415214772,,,,17172624,2,112,CZ042,CZ0424,Podbořany,44101,Masarykovo náměstí,440,všeobecné praktické lékařství,primární ambulantní péče,,MUDr. MARIE STORČÁKOVÁ,50.228694478229,13.408048313563
242712,173859,17652987000000,"AllyPraktik, s. r. o.",Samost. ordinace všeob. prakt. lékaře,Ústí nad Labem,40001,Masarykova,194/331,Ústecký kraj,CZ042,Ústí nad Labem,CZ0427,,420472742789,,allypraktik@seznam.cz,,17652987,2,112,CZ042,CZ0427,Ústí nad Labem,40011,Stará,2520/45,všeobecné praktické lékařství,primární ambulantní péče,,ALEXANDRA TAJCHNEROVÁ,50.681181628138,14.004594143874
242701,173842,17618207000001,MUDr. Matej Tvorík s.r.o.,Samost. ordinace všeob. prakt. lékaře,Dolní Poustevna,40782,Čs. armády,228,Ústecký kraj,CZ042,Děčín,CZ0421,,420412386274,,tvorik.sluknov@gmail.com,,17618207,2,112,CZ042,CZ0421,Šluknov,40777,nám. Míru,344,všeobecné praktické lékařství,primární ambulantní péče,,MATEJ TVORÍK,50.982413098584,14.289369990492
242700,173841,17618207000000,MUDr. Matej Tvorík s.r.o.,Samost. ordinace všeob. prakt. lékaře,Šluknov,40777,nám. Míru,344,Ústecký kraj,CZ042,Děčín,CZ0421,,420412386274,,tvorik.sluknov@gmail.com,,17618207,2,112,CZ042,CZ0421,Šluknov,40777,nám. Míru,344,všeobecné praktické lékařství,primární ambulantní péče,,MATEJ TVORÍK,51.003054575567,14.453151470689
242628,173781,17798108000000,PL Košťany s.r.o.,Samost. ordinace všeob. prakt. lékaře,Košťany,41723,Revoluční,240,Ústecký kraj,CZ042,Teplice,CZ0426,,420417568008,,mudr.bencikova@seznam.cz,,17798108,2,112,CZ042,CZ0426,Košťany,41723,Revoluční,240,všeobecné praktické lékařství,primární ambulantní péče,,MUDr. ZDENKA BENČÍKOVÁ,50.654327533724,13.756584680675
242563,173721,14114429000000,Vanamed s.r.o.,"Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře",Teplice,41501,Duchcovská,962/53,Ústecký kraj,CZ042,Teplice,CZ0426,,420606175511,,,,14114429,2,112,CZ042,CZ0426,Proboštov,41712,Pivoňková,693,"všeobecné praktické lékařství, radiologie a zobrazovací metody","primární ambulantní péče, specializovaná ambulantní péče",,"MUDr. JIŘÍ VÁŇA, Renata Váňová",50.636564325902,13.810856307098
242487,173630,66123411000000,MUDr. Lenka Hodková,Samost. ordinace všeob. prakt. lékaře,Vroutek,43982,náměstí Míru,4,Ústecký kraj,CZ042,Louny,CZ0424,,420415240090,,lekar@ordinacevroutek.cz,,66123411,1,,CZ042,CZ0424,Vroutek,43982,náměstí Míru,4,všeobecné praktické lékařství,primární ambulantní péče,,,50.182138350122,13.381607902332
242347,173547,17687977000000,MUDr. Richard Hós,Samost. ordinace všeob. prakt. lékaře,Děčín,40502,Anenská,385/2,Ústecký kraj,CZ042,Děčín,CZ0421,,420604906600,,mudr.richard.hos@gmail.com,,17687977,1,,CZ042,CZ0421,Děčín,40502,Anenská,385/2,všeobecné praktické lékařství,primární ambulantní péče,,,50.77969402554,14.21772180211
242248,173434,15154874001008,MUDr. Jiří Binter,Samost. ordinace všeob. prakt. lékaře,Strupčice,43114,,300,Ústecký kraj,CZ042,Chomutov,CZ0422,,420474334075,,vejprty-obvod@seznam.cz,,15154874,1,,CZ042,CZ0422,Chomutov,43004,Písečná,5062,všeobecné praktické lékařství,primární ambulantní péče,,,50.470826536564,13.529028917978
241915,173163,17375291000000,KZ jednodenní chirurgie a ambulance s.r.o.,"Poskytovatel amb. služeb (do 5 oborů), Samost. ordinace všeob. prakt. lékaře",Teplice,41501,Duchcovská,962/53,Ústecký kraj,CZ042,Teplice,CZ0426,,420417519514,,,,17375291,2,112,CZ042,CZ0426,Teplice,41501,Duchcovská,962/53,"všeobecné praktické lékařství, urologie, urologie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, chirurgie, chirurgie, gynekologie a porodnictví, gynekologie a porodnictví","ambulantní péče, jednodenní péče, specializovaná ambulantní péče",,PETR HOLBA,50.636564325902,13.810856307098
241279,162647,15154874001007,MUDr. Jiří Binter,Samost. ordinace všeob. prakt. lékaře,Vejprty,43191,Pohraniční stráže,403/11,Ústecký kraj,CZ042,Chomutov,CZ0422,,420474334075,,vejprty-obvod@seznam.cz,,15154874,1,,CZ042,CZ0422,Chomutov,43004,Písečná,5062,všeobecné praktické lékařství,primární ambulantní péče,,,50.49575201394,13.030467093344
241149,162509,14390728000000,MUDr. Lucie Novotná,Samost. ordinace všeob. prakt. lékaře,Vejprty,43191,Maxima Gorkého,981/18,Ústecký kraj,CZ042,Chomutov,CZ0422,,420728589300,,novotnalucie.hory@seznam.cz,,14390728,1,,CZ042,CZ0422,Vejprty,43191,Maxima Gorkého,981/18,všeobecné praktické lékařství,primární ambulantní péče,,,50.496637213989,13.032847149893
240698,162136,14194686000000,MUDr. Iva Röber s.r.o.,Samost. ordinace všeob. prakt. lékaře,Meziboří,43513,Okružní,117,Ústecký kraj,CZ042,Most,CZ0425,,420476747453,,ordinace.mezibori@centrum.cz,,14194686,2,112,CZ042,CZ0425,Meziboří,43513,Okružní,117,všeobecné praktické lékařství,primární ambulantní péče,,IVA RÖBER,50.621449776676,13.605898090327
240600,162047,9255249000000,"SALUS ASL, s. r. o.",Samost. ordinace všeob. prakt. lékaře,Teplice,41501,U nemocnice,3064,Ústecký kraj,CZ042,Teplice,CZ0426,,420417537988,,praktikMB@seznam.cz,,9255249,2,112,CZ042,CZ0426,Teplice,41501,Potěminova,1359/10,všeobecné praktické lékařství,primární ambulantní péče,,MUDr. MIROSLAV BRŮŽA,50.635477751465,13.811772272955
259681,162024,3676625001000,MUDr. Alaa M A Sara SHAMASNA,Samost. ordinace všeob. prakt. lékaře,Most,43401,Lipová,807/14,Ústecký kraj,CZ042,Most,CZ0425,,420417977800,,,http://shamasna.cz,3676625,1,,CZ042,CZ0426,Teplice,41501,U nádraží,529/7,všeobecné praktické lékařství,ambulantní péče,,,50.491604671463,13.651213565647
240510,161965,28678133001001,InMed-SV s.r.o.,Samost. ordinace všeob. prakt. lékaře,Lovosice,41002,Terezínská,60,Ústecký kraj,CZ042,Litoměřice,CZ0423,,420416532720,,leky@inmed-sv.cz,www.inmed-sv.cz,28678133,2,112,CZ042,CZ0423,Třebívlice,41115,,44,všeobecné praktické lékařství,specializovaná ambulantní péče,,"MUDr. Jan Šváb, MUDr. Markéta Švábová",50.510931114358,14.072772446573
